Year,Metric,Value
2017,Visitors (Millions),73.66
2017,Expenditure (RM Millions),83102.61
2018,Visitors (Millions),82.74
2018,Expenditure (RM Millions),92561.34
2019,Visitors (Millions),92.64
2019,Expenditure (RM Millions),103183.76
2020,Visitors (Millions),38.63
2020,Expenditure (RM Millions),40424.33
2021,Visitors (Millions),17.45
2021,Expenditure (RM Millions),18410.19
2022,Visitors (Millions),59.22
2022,Expenditure (RM Millions),64080.30
2023,Visitors (Millions),78.68
2023,Expenditure (RM Millions),84932.13
2024,Visitors (Millions),98.45
2024,Expenditure (RM Millions),106746.11